winner,blue_wins,red_wins,Draw
Red,3,1,
Red,5,4,
Red,5,9,
Red,9,5,
Blue,5,3,
Red,4,5,
Red,2,8,
Red,0,0,
Red,4,3,
Red,1,3,
Blue,0,0,
Blue,6,11,
Red,0,7,
Blue,0,3,
Red,0,0,
Blue,8,9,
Red,0,0,
Blue,3,2,
Red,0,1,
Blue,2,1,
Red,4,3,
Blue,11,2,
Blue,0,0,
Red,9,1,
Blue,9,8,
Blue,5,7,
Red,0,0,
Blue,0,3,
Blue,1,4,
Blue,3,3,
Blue,0,2,
Red,2,4,
Red,0,0,
Blue,1,1,
Red,0,4,
Red,3,5,
Blue,4,0,
Blue,0,4,
Draw,0,3,
Red,0,3,
Draw,15,7,
Blue,3,0,
Red,0,1,
Blue,4,2,
Red,0,8,
Blue,3,23,
Red,2,5,
Blue,0,1,
Blue,2,4,
Red,7,7,
Red,7,12,
Draw,0,3,
Blue,0,1,
Red,0,6,
Blue,0,0,
Red,0,6,
Blue,0,2,
Draw,0,3,
Red,5,6,
Blue,2,0,
Red,4,6,
Red,17,11,
Blue,8,14,
Red,3,5,
Blue,6,7,
Red,1,0,
Red,8,6,
Red,1,6,
Red,0,1,
Blue,1,7,
Red,0,0,
Red,2,2,
Red,7,8,
Red,2,0,
Blue,0,1,
Blue,3,11,
Red,0,2,
Blue,0,0,
Red,1,2,
Red,0,0,
Red,0,0,
Blue,0,2,
Blue,14,9,
Blue,4,3,
Blue,4,9,
Blue,4,11,
Blue,2,5,
Red,2,10,
Blue,12,11,
Red,2,4,
Red,0,1,
Blue,1,3,
Red,1,0,
Red,1,0,
Red,6,9,
Red,2,8,
Red,7,3,
Red,0,0,
Red,0,5,
Red,2,0,
Red,5,6,
Blue,1,6,
Red,0,1,
Blue,1,1,
Red,1,0,
Blue,0,0,
Blue,2,4,
Red,3,5,
Blue,0,1,
Red,2,1,
Red,13,9,
Red,15,19,
Blue,4,2,
Red,0,0,
Blue,3,1,
Red,2,2,
Red,0,4,
Red,0,4,
Red,0,1,
Red,5,3,
Red,0,2,
Blue,7,0,
Red,1,5,
Blue,0,7,
Blue,1,6,
Red,17,16,
Blue,4,5,
Red,0,3,
Red,0,4,
Red,3,6,
Blue,9,18,
Red,1,9,
Red,13,2,
Blue,7,9,
Blue,5,6,
Red,6,16,
Red,1,1,
Blue,1,2,
Blue,0,10,
Blue,0,0,
Red,0,5,
Red,0,0,
Red,2,7,
Red,9,2,
Red,6,5,
Red,1,4,
Draw,0,1,
Red,3,10,
Red,3,5,
Red,0,2,
Blue,1,2,
Red,1,1,
Blue,0,2,
Blue,3,14,
Red,1,10,
Red,0,7,
Red,5,10,
Blue,8,18,
Red,13,18,
Blue,5,1,
Red,5,5,
Red,6,6,
Red,3,2,
Blue,3,7,
Blue,1,1,
Red,0,0,
Red,0,3,
Blue,14,9,
Blue,4,2,
Red,15,8,
Red,3,1,
Red,4,6,
Red,8,20,
Red,0,3,
Blue,0,2,
Red,0,0,
Red,1,2,
Red,0,2,
Red,3,2,
Red,1,1,
Blue,2,10,
Red,3,2,
Blue,4,5,
Blue,4,5,
Red,2,3,
Red,0,1,
Blue,1,1,
Blue,1,0,
Red,2,0,
Red,8,9,
Red,4,4,
Blue,1,3,
Red,4,5,
Blue,4,6,
Red,23,14,
Blue,2,5,
Red,4,8,
Red,4,3,
Red,5,4,
Blue,2,0,
Blue,3,10,
Red,0,5,
Blue,5,6,
Blue,2,0,
Blue,2,3,
Red,1,4,
Blue,7,10,
Red,0,0,
Blue,0,0,
Blue,3,6,
Blue,3,1,
Red,0,0,
Blue,1,4,
Red,0,0,
Red,0,3,
Red,0,8,
Red,10,17,
Red,2,2,
Red,0,3,
Blue,0,1,
Blue,1,7,
Red,14,14,
Red,2,7,
Blue,1,2,
Blue,0,5,
Blue,10,6,
Red,1,2,
Red,4,2,
Red,17,4,
Blue,1,6,
Red,0,0,
Blue,6,10,
Blue,1,15,
Red,8,6,
Blue,10,6,
Red,0,2,
Blue,14,12,
Red,0,0,
Blue,0,1,
Red,0,4,
Blue,22,9,
Blue,3,0,
Blue,0,1,
Red,8,9,
Red,2,2,
Blue,4,10,
Blue,1,2,
Red,0,6,
Blue,0,0,
Red,1,2,
Blue,0,4,
Blue,1,16,
Red,3,11,
Red,0,0,
Blue,3,12,
Blue,6,9,
Red,0,1,
Blue,0,9,
Blue,5,9,
Red,0,3,
Red,0,4,
Red,0,7,
Red,1,18,
Blue,2,8,
Red,1,1,
Red,0,2,
Red,0,5,
Red,0,6,
Red,1,0,
Red,6,9,
Red,0,0,
Red,4,1,
Blue,4,4,
Blue,1,2,
Red,0,2,
Blue,16,16,
Red,0,2,
Blue,3,3,
Blue,1,7,
Blue,0,1,
Blue,6,11,
Blue,5,10,
Blue,5,3,
Blue,4,7,
Blue,0,0,
Red,2,1,
Red,0,1,
Blue,2,1,
Blue,2,14,
Blue,2,0,
Blue,2,12,
Red,2,1,
Blue,4,5,
Red,1,0,
Red,11,4,
Blue,5,4,
Blue,0,5,
Blue,1,5,
Red,4,1,
Red,2,3,
Blue,3,0,
Red,0,1,
Red,4,8,
Blue,8,9,
Red,5,6,
Red,4,5,
Red,3,1,
Red,1,1,
Red,3,4,
Blue,0,2,
Blue,0,6,
Blue,0,0,
Blue,4,3,
Red,0,2,
Red,4,2,
Red,4,3,
Red,2,4,
Blue,3,5,
Blue,9,5,
Red,8,8,
Blue,2,2,
Red,0,0,
Blue,0,0,
Red,2,0,
Red,6,0,
Red,3,6,
Blue,14,12,
Red,6,9,
Blue,1,5,
Blue,5,12,
Red,8,7,
Blue,4,10,
Red,1,0,
Red,0,1,
Red,0,3,
Red,4,4,
Blue,2,6,
Blue,0,13,
Blue,2,6,
Blue,7,6,
Red,7,17,
Blue,4,15,
Blue,9,9,
Blue,2,5,
Red,7,3,
Red,4,17,
Blue,1,1,
Red,1,1,
Blue,0,1,
Blue,0,0,
Red,1,0,
Blue,0,7,
Red,0,1,
Red,2,4,
Blue,12,6,
Blue,3,9,
Red,5,12,
Red,4,2,
Blue,2,0,
Blue,0,10,
Red,0,1,
Blue,5,9,
Blue,8,6,
Blue,0,9,
Red,8,6,
