,r_fighter,b_fighter,date_of_fight,location,winner,weight_class,b_wins,b_losses,b_win_by_decision_majority,b_win_by_decision_split,b_win_by_decision_unanimous,b_win_by_ko/tko,b_win_by_submission,b_win_by_tko_doctor_stoppage,b_stance,b_height_cms,b_Reach_cms,b_weight_lbs,r_wins,r_losses,r_win_by_decision_majority,r_win_by_decision_split,r_win_by_decision_unanimous,r_win_by_ko/tko,r_win_by_submission,r_win_by_tko_doctor_stoppage,r_stance,r_height_cms,r_Reach_cms,r_weight_lbs,b_age,r_age,Blue Total Wins,Red total Wins
1183,Devonte Smith,Julian Erosa,11/10/2018,"Denver, Colorado, USA",Red,Lightweight,1,1,0,1,0,0,0,0,Southpaw,185.42,187.96,145,0,0,0,0,0,0,0,0,Orthodox,175.26,193.04,155,29,25,,
1184,Joseph Morales,Eric Shelton,11/10/2018,"Denver, Colorado, USA",Blue,Flyweight,1,3,0,0,1,0,0,0,Orthodox,167.64,172.72,125,1,1,0,0,0,0,1,0,Switch,167.64,175.26,125,27,24,,
1185,Davi Ramos,John Gunther,11/10/2018,"Denver, Colorado, USA",Red,Lightweight,1,0,1,0,0,0,0,0,Orthodox,175.26,182.88,155,2,1,0,0,0,0,2,0,Orthodox,167.64,177.8,155,32,32,,
1186,Mark De La Rosa,Joby Sanchez,11/10/2018,"Denver, Colorado, USA",Red,Bantamweight,1,3,0,1,0,0,0,0,Orthodox,167.64,172.72,135,1,1,0,0,0,0,1,0,Orthodox,167.64,165.1,135,27,24,,
1187,Jason Knight,Jordan Rinaldi,11/3/2018,"New York City, New York, USA",Blue,Featherweight,1,2,0,0,0,0,1,0,Orthodox,177.8,182.88,145,4,4,0,1,1,1,1,0,Orthodox,177.8,180.34,145,31,26,,
1188,Karl Roberson,Jack Marshman,11/3/2018,"New York City, New York, USA",Red,Middleweight,2,2,0,0,1,1,0,0,Orthodox,182.88,185.42,185,1,1,0,0,0,0,1,0,Southpaw,185.42,187.96,185,28,28,,
1189,David Branch,Jared Cannonier,11/3/2018,"New York City, New York, USA",Blue,Middleweight,3,4,0,0,1,2,0,0,Switch,180.34,195.58,185,4,3,0,1,2,1,0,0,Orthodox,185.42,198.12,185,34,37,,
1190,Daniel Cormier,Derrick Lewis,11/3/2018,"New York City, New York, USA",Red,Heavyweight,12,3,0,1,1,10,0,0,Orthodox,190.5,200.66,260,10,2,0,1,3,3,3,0,Orthodox,180.34,182.88,235,33,39,,
1191,Derek Brunson,Israel Adesanya,11/3/2018,"New York City, New York, USA",Blue,Middleweight,3,0,0,1,1,1,0,0,Switch,193.04,203.2,185,9,4,0,0,2,6,1,0,Southpaw,185.42,195.58,185,29,34,,
1192,Julio Arce,Sheymon Moraes,11/3/2018,"New York City, New York, USA",Blue,Featherweight,1,1,0,0,1,0,0,0,Orthodox,172.72,182.88,145,2,0,0,0,1,0,1,0,Southpaw,170.18,177.8,145,28,29,,
1193,Sijara Eubanks,Roxanne Modafferi,11/3/2018,"New York City, New York, USA",Red,WomenFlyweight,1,2,0,0,0,1,0,0,Orthodox,170.18,175.26,125,1,0,0,0,1,0,0,0,Orthodox,162.56,170.18,135,36,33,,
1194,Chris Weidman,Jacare Souza,11/3/2018,"New York City, New York, USA",Blue,Middleweight,8,3,0,0,1,3,4,0,Orthodox,185.42,182.88,185,10,3,0,0,3,4,3,0,Orthodox,187.96,198.12,185,38,34,,
1195,Matt Frevola,Lando Vannata,11/3/2018,"New York City, New York, USA",Draw,Lightweight,1,4,0,0,0,1,0,0,Orthodox,175.26,180.34,155,0,1,0,0,0,0,0,0,Orthodox,175.26,180.34,155,26,28,,
1196,Lyman Good,Ben Saunders,11/3/2018,"New York City, New York, USA",Red,Welterweight,9,7,0,1,2,3,3,0,Orthodox,187.96,195.58,170,1,1,0,0,0,1,0,0,Orthodox,182.88,187.96,170,35,33,,
1197,Shane Burgos,Kurt Holobaugh,11/3/2018,"New York City, New York, USA",Red,Featherweight,0,2,0,0,0,0,0,0,Orthodox,180.34,177.8,155,3,1,0,0,2,1,0,0,Orthodox,180.34,190.5,145,32,27,,
1198,Adam Wieczorek,Marcos Rogerio de Lima,11/3/2018,"New York City, New York, USA",Blue,Heavyweight,4,3,0,0,0,3,1,0,Orthodox,185.42,190.5,253,2,0,0,0,1,0,1,0,Orthodox,195.58,205.74,250,33,26,,
1199,Misha Cirkunov,Patrick Cummins,10/27/2018,"Moncton, New Brunswick, Canada",Red,LightHeavyweight,6,5,0,1,3,2,0,0,Orthodox,187.96,193.04,205,4,2,0,0,0,1,3,0,Orthodox,190.5,195.58,205,37,31,,
1200,Gian Villante,Ed Herman,10/27/2018,"Moncton, New Brunswick, Canada",Red,LightHeavyweight,10,10,0,1,2,3,4,0,Orthodox,185.42,195.58,205,6,7,0,2,0,4,0,0,Orthodox,190.5,193.04,230,38,33,,
1201,Nordine Taleb,Sean Strickland,10/27/2018,"Moncton, New Brunswick, Canada",Blue,Welterweight,6,3,0,2,2,1,1,0,Orthodox,185.42,193.04,185,6,3,0,1,3,2,0,0,Orthodox,185.42,187.96,170,27,37,,
1202,Alex Garcia,Court McGee,10/27/2018,"Moncton, New Brunswick, Canada",Blue,Welterweight,7,6,0,1,4,0,2,0,Orthodox,180.34,190.5,170,5,4,0,1,1,2,1,0,Orthodox,175.26,182.88,170,33,31,,
1203,Michael Johnson,Artem Lobov,10/27/2018,"Moncton, New Brunswick, Canada",Red,Featherweight,2,4,0,0,2,0,0,0,Southpaw,175.26,165.1,145,10,9,0,1,5,4,0,0,Southpaw,177.8,185.42,155,32,32,,
1204,Volkan Oezdemir,Anthony Smith,10/27/2018,"Moncton, New Brunswick, Canada",Blue,LightHeavyweight,6,3,0,0,1,5,0,0,Orthodox,193.04,193.04,205,3,1,0,1,0,2,0,0,Orthodox,187.96,190.5,205,30,29,,
1205,Thibault Gouti,Nasrat Haqparast,10/27/2018,"Moncton, New Brunswick, Canada",Blue,Lightweight,1,1,0,0,1,0,0,0,Southpaw,177.8,182.88,155,1,4,0,0,0,1,0,0,Orthodox,177.8,182.88,155,23,31,,
1206,Andre Soukhamthath,Jonathan Martinez,10/27/2018,"Moncton, New Brunswick, Canada",Red,Bantamweight,0,0,0,0,0,0,0,0,Southpaw,172.72,177.8,135,1,3,0,0,0,1,0,0,Orthodox,175.26,177.8,135,24,30,,
1207,Calvin Kattar,Chris Fishgold,10/27/2018,"Moncton, New Brunswick, Canada",Red,Featherweight,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,145,2,1,0,0,1,1,0,0,Orthodox,180.34,182.88,145,26,30,,
1208,Sarah Moras,Talita Bernardo,10/27/2018,"Moncton, New Brunswick, Canada",Blue,WomenBantamweight,0,2,0,0,0,0,0,0,Orthodox,162.56,172.72,135,2,2,0,0,1,0,1,0,Orthodox,170.18,170.18,135,31,30,,
1209,Te Edwards,Don Madge,10/27/2018,"Moncton, New Brunswick, Canada",Blue,Lightweight,0,0,0,0,0,0,0,0,Southpaw,182.88,182.88,155,0,0,0,0,0,0,0,0,Orthodox,172.72,182.88,155,27,28,,
1210,Stevie Ray,Jessin Ayari,10/27/2018,"Moncton, New Brunswick, Canada",Red,Lightweight,1,1,0,1,0,0,0,0,Orthodox,182.88,185.42,155,5,3,1,1,1,2,0,0,Southpaw,177.8,177.8,155,26,28,,
1211,Arjan Bhullar,Marcelo Golm,10/27/2018,"Moncton, New Brunswick, Canada",Red,Heavyweight,1,1,0,0,0,0,1,0,Orthodox,190.5,190.5,249,1,1,0,0,1,0,0,0,Orthodox,185.42,190.5,245,26,32,,
1212,Sergio Pettis,Jussier Formiga,10/6/2018,"Las Vegas, Nevada, USA",Blue,Flyweight,7,4,0,0,4,0,3,0,Orthodox,165.1,170.18,125,8,3,0,1,7,0,0,0,Orthodox,167.64,175.26,125,33,25,,
1213,Vicente Luque,Jalin Turner,10/6/2018,"Las Vegas, Nevada, USA",Red,Welterweight,0,0,0,0,0,0,0,0,Southpaw,190.5,195.58,155,6,2,0,0,0,3,3,0,Orthodox,180.34,190.5,170,23,26,,
1214,Tony Ferguson,Anthony Pettis,10/6/2018,"Las Vegas, Nevada, USA",Red,Lightweight,8,6,0,1,1,2,4,0,Orthodox,177.8,182.88,155,13,1,0,1,3,2,6,1,Orthodox,180.34,193.04,155,31,34,,
1215,Ovince Saint Preux,Dominick Reyes,10/6/2018,"Las Vegas, Nevada, USA",Blue,LightHeavyweight,3,0,0,0,0,2,1,0,Southpaw,193.04,195.58,205,11,6,1,0,1,5,4,0,Southpaw,190.5,203.2,205,28,35,,
1216,Michelle Waterson,Felice Herrig,10/6/2018,"Las Vegas, Nevada, USA",Red,WomenStrawweight,5,2,0,1,2,0,2,0,Orthodox,162.56,165.1,115,3,2,0,1,0,0,2,0,Orthodox,160.02,157.48,115,34,32,,
1217,Aspen Ladd,Tonya Evinger,10/6/2018,"Las Vegas, Nevada, USA",Red,WomenBantamweight,0,1,0,0,0,0,0,0,Orthodox,170.18,177.8,135,1,0,0,0,0,1,0,0,Orthodox,167.64,167.64,135,37,23,,
1218,Derrick Lewis,Alexander Volkov,10/6/2018,"Las Vegas, Nevada, USA",Red,Heavyweight,4,0,0,1,1,2,0,0,Orthodox,200.66,203.2,250,11,3,0,1,1,9,0,0,Orthodox,190.5,200.66,260,29,33,,
1219,Khabib Nurmagomedov,Conor McGregor,10/6/2018,"Las Vegas, Nevada, USA",Red,Lightweight,9,1,1,0,1,7,0,0,Southpaw,175.26,187.96,155,10,0,0,0,6,2,2,0,Orthodox,177.8,177.8,155,30,30,,
1220,Scott Holtzman,Alan Patrick,10/6/2018,"Las Vegas, Nevada, USA",Red,Lightweight,5,1,0,0,4,1,0,0,Southpaw,180.34,187.96,155,4,2,0,0,3,0,1,0,Orthodox,175.26,175.26,155,35,35,,
1221,Lina Lansberg,Yana Kunitskaya,10/6/2018,"Las Vegas, Nevada, USA",Blue,WomenBantamweight,0,1,0,0,0,0,0,0,Orthodox,167.64,172.72,135,2,2,0,0,2,0,0,0,Orthodox,170.18,165.1,135,28,36,,
1222,Ryan LaFlare,Anthony Rocco Martin,10/6/2018,"Las Vegas, Nevada, USA",Blue,Welterweight,5,4,0,0,3,0,2,0,Orthodox,182.88,185.42,170,7,2,0,0,7,0,0,0,Southpaw,185.42,187.96,170,28,35,,
1223,Gray Maynard,Nik Lentz,10/6/2018,"Las Vegas, Nevada, USA",Blue,Lightweight,12,8,0,2,6,2,2,0,Orthodox,172.72,172.72,145,11,8,0,3,7,1,0,0,Orthodox,175.26,177.8,155,34,39,,
1224,Alex Oliveira,Carlo Pedersoli Jr.,9/22/2018,"Sao Paulo, Sao Paulo, Brazil",Red,Welterweight,1,0,0,1,0,0,0,0,Southpaw,180.34,190.5,170,8,4,0,0,2,3,3,0,Orthodox,180.34,193.04,170,25,30,,
1225,Luis Henrique,Ryan Spann,9/22/2018,"Sao Paulo, Sao Paulo, Brazil",Blue,LightHeavyweight,0,0,0,0,0,0,0,0,Orthodox,195.58,200.66,205,2,3,0,0,0,0,2,0,Orthodox,187.96,187.96,243,27,25,,
1226,Charles Oliveira,Christos Giagos,9/22/2018,"Sao Paulo, Sao Paulo, Brazil",Red,Lightweight,1,2,0,0,0,0,1,0,Orthodox,177.8,180.34,155,11,9,0,0,1,0,10,0,Orthodox,177.8,187.96,155,28,28,,
1227,Randa Markos,Marina Rodriguez,9/22/2018,"Sao Paulo, Sao Paulo, Brazil",Draw,WomenStrawweight,0,0,0,0,0,0,0,0,Orthodox,167.64,165.1,115,4,5,0,1,3,0,0,0,Orthodox,162.56,160.02,115,31,33,,
1228,Sam Alvey,Rogerio Nogueira,9/22/2018,"Sao Paulo, Sao Paulo, Brazil",Blue,LightHeavyweight,5,5,0,1,1,3,0,0,Southpaw,187.96,190.5,205,10,5,0,2,2,5,1,0,Southpaw,187.96,190.5,205,42,32,,
1229,Francisco Trinaldo,Evan Dunham,9/22/2018,"Sao Paulo, Sao Paulo, Brazil",Red,Lightweight,11,8,0,3,5,1,1,1,Southpaw,177.8,177.8,155,12,5,0,1,6,2,2,1,Southpaw,175.26,177.8,155,36,40,,
1230,Thiago Santos,Eryk Anders,9/22/2018,"Sao Paulo, Sao Paulo, Brazil",Red,LightHeavyweight,3,1,0,0,1,2,0,0,Southpaw,185.42,190.5,185,10,5,0,0,2,8,0,0,Orthodox,187.96,193.04,205,31,34,,
1231,Renan Barao,Andre Ewell,9/22/2018,"Sao Paulo, Sao Paulo, Brazil",Blue,Bantamweight,0,0,0,0,0,0,0,0,Southpaw,172.72,190.5,135,9,5,0,0,4,2,3,0,Orthodox,167.64,177.8,145,30,31,,
1232,Sergio Moraes,Ben Saunders,9/22/2018,"Sao Paulo, Sao Paulo, Brazil",Red,Welterweight,9,6,0,1,2,3,3,0,Orthodox,187.96,195.58,170,7,3,0,2,2,1,2,0,Orthodox,182.88,182.88,170,35,36,,
1233,Mayra Bueno Silva,Gillian Robertson,9/22/2018,"Sao Paulo, Sao Paulo, Brazil",Red,WomenFlyweight,2,0,0,0,0,0,2,0,Orthodox,165.1,160.02,125,0,0,0,0,0,0,0,0,Orthodox,167.64,167.64,135,23,27,,
1234,Augusto Sakai,Chase Sherman,9/22/2018,"Sao Paulo, Sao Paulo, Brazil",Red,Heavyweight,2,4,0,0,1,1,0,0,Orthodox,193.04,198.12,250,0,0,0,0,0,0,0,0,Orthodox,190.5,195.58,265,28,27,,
1235,Elizeu Zaleski dos Santos,Luigi Vendramini,9/22/2018,"Sao Paulo, Sao Paulo, Brazil",Red,Welterweight,0,0,0,0,0,0,0,0,Orthodox,172.72,185.42,170,5,1,0,1,2,2,0,0,Orthodox,180.34,185.42,170,22,31,,
1236,Thales Leites,Hector Lombard,9/22/2018,"Sao Paulo, Sao Paulo, Brazil",Red,Middleweight,3,8,0,0,1,2,0,0,Southpaw,175.26,180.34,185,12,8,0,1,4,2,5,0,Orthodox,185.42,198.12,185,40,37,,
1237,Livinha Souza,Alex Chambers,9/22/2018,"Sao Paulo, Sao Paulo, Brazil",Red,WomenStrawweight,1,3,0,0,0,0,1,0,Southpaw,160.02,160.02,115,0,0,0,0,0,0,0,0,Orthodox,160.02,160.02,115,39,27,,
1238,Rustam Khabilov,Kajan Johnson,9/15/2018,"Moscow, Moscow, Russia",Red,Lightweight,4,2,0,1,2,1,0,0,Orthodox,180.34,190.5,155,8,2,0,0,6,1,0,1,Orthodox,172.72,185.42,155,34,31,,
1239,Andrei Arlovski,Shamil Abdurakhimov,9/15/2018,"Moscow, Moscow, Russia",Blue,Heavyweight,3,2,0,1,1,1,0,0,Orthodox,190.5,193.04,235,16,10,0,1,4,9,2,0,Orthodox,190.5,195.58,240,37,39,,
1240,Aleksei Kunchenko,Thiago Alves,9/15/2018,"Moscow, Moscow, Russia",Red,Welterweight,14,9,0,0,5,7,1,1,Orthodox,175.26,177.8,170,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,170,34,34,,
1241,Jan Blachowicz,Nikita Krylov,9/15/2018,"Moscow, Moscow, Russia",Red,LightHeavyweight,6,3,0,0,0,3,3,0,Orthodox,190.5,195.58,205,5,4,0,0,3,1,1,0,Orthodox,187.96,198.12,205,26,35,,
1242,Khalid Murtazaliev,CB Dollaway,9/15/2018,"Moscow, Moscow, Russia",Red,Middleweight,11,8,0,1,5,2,2,0,Orthodox,187.96,193.04,185,0,0,0,0,0,0,0,0,Orthodox,182.88,193.04,185,35,25,,
1243,Mark Hunt,Aleksei Oleinik,9/15/2018,"Moscow, Moscow, Russia",Blue,Heavyweight,5,2,0,0,0,1,4,0,Orthodox,187.96,203.2,240,8,8,0,0,1,7,0,0,Orthodox,177.8,182.88,265,41,44,,
1244,Petr Yan,Jin Soo Son,9/15/2018,"Moscow, Moscow, Russia",Red,Bantamweight,0,0,0,0,0,0,0,0,Orthodox,167.64,175.26,135,1,0,0,0,0,1,0,0,Switch,170.18,170.18,135,25,25,,
1245,Mairbek Taisumov,Desmond Green,9/15/2018,"Moscow, Moscow, Russia",Red,Lightweight,2,2,0,1,1,0,0,0,Southpaw,177.8,185.42,155,6,1,0,0,1,5,0,0,Orthodox,175.26,185.42,155,28,30,,
1246,Magomed Ankalaev,Marcin Prachnio,9/15/2018,"Moscow, Moscow, Russia",Red,LightHeavyweight,0,1,0,0,0,0,0,0,Orthodox,190.5,187.96,205,0,1,0,0,0,0,0,0,Orthodox,190.5,190.5,205,30,26,,
1247,Adam Yandiev,Jordan Johnson,9/15/2018,"Moscow, Moscow, Russia",Blue,Middleweight,3,0,0,1,2,0,0,0,Orthodox,187.96,200.66,205,0,0,0,0,0,0,0,0,Orthodox,175.26,187.96,185,29,30,,
1248,Ramazan Emeev,Stefan Sekulic,9/15/2018,"Moscow, Moscow, Russia",Red,Welterweight,0,0,0,0,0,0,0,0,Southpaw,182.88,190.5,170,2,0,0,0,2,0,0,0,Southpaw,177.8,193.04,170,26,31,,
1249,Merab Dvalishvili,Terrion Ware,9/15/2018,"Moscow, Moscow, Russia",Red,Bantamweight,0,3,0,0,0,0,0,0,Orthodox,172.72,180.34,135,0,2,0,0,0,0,0,0,Orthodox,167.64,172.72,135,32,27,,
1250,Jimmie Rivera,John Dodson,9/8/2018,"Dallas, Texas, USA",Red,Bantamweight,9,4,0,1,3,4,0,1,Orthodox,160.02,167.64,135,5,1,0,1,3,1,0,0,Orthodox,162.56,172.72,135,33,29,,
1251,Jessica Andrade,Karolina Kowalkiewicz,9/8/2018,"Dallas, Texas, USA",Red,WomenStrawweight,5,2,0,2,3,0,0,0,Orthodox,160.02,162.56,115,9,4,0,1,5,1,2,0,Orthodox,154.94,157.48,115,32,26,,
1252,Zabit Magomedsharipov,Brandon Davis,9/8/2018,"Dallas, Texas, USA",Red,Featherweight,1,2,0,0,1,0,0,0,Orthodox,177.8,182.88,135,3,0,0,0,1,0,2,0,Orthodox,185.42,185.42,145,28,27,,
1253,Aljamain Sterling,Cody Stamann,9/8/2018,"Dallas, Texas, USA",Red,Bantamweight,3,0,0,2,1,0,0,0,Orthodox,167.64,162.56,145,7,3,0,0,4,1,2,0,Orthodox,170.18,180.34,135,28,29,,
1254,Abdul Razak Alhassan,Niko Price,9/8/2018,"Dallas, Texas, USA",Red,Welterweight,4,2,0,0,0,2,2,0,Orthodox,182.88,193.04,170,3,1,0,0,0,3,0,0,Orthodox,177.8,185.42,170,28,33,,
1255,Carla Esparza,Tatiana Suarez,9/8/2018,"Dallas, Texas, USA",Blue,WomenStrawweight,3,0,0,0,1,0,2,0,Southpaw,165.1,167.64,115,4,3,0,0,3,0,1,0,Orthodox,154.94,160.02,115,27,30,,
1256,Geoff Neal,Frank Camacho,9/8/2018,"Dallas, Texas, USA",Red,Welterweight,1,2,0,1,0,0,0,0,Orthodox,177.8,185.42,170,1,0,0,0,0,0,1,0,Southpaw,180.34,190.5,170,29,28,,
1257,Tyron Woodley,Darren Till,9/8/2018,"Dallas, Texas, USA",Red,Welterweight,5,1,0,0,3,2,0,0,Southpaw,182.88,187.96,185,8,3,1,1,1,5,0,0,Orthodox,175.26,187.96,170,25,36,,
1258,Charles Byrd,Darren Stewart,9/8/2018,"Dallas, Texas, USA",Blue,Middleweight,1,4,0,0,0,1,0,0,Orthodox,182.88,187.96,185,1,0,0,0,0,0,1,0,Orthodox,177.8,185.42,185,27,34,,
1259,Jim Miller,Alex White,9/8/2018,"Dallas, Texas, USA",Red,Lightweight,3,4,0,0,1,2,0,0,Southpaw,182.88,180.34,155,17,12,0,2,6,3,6,0,Southpaw,172.72,180.34,155,29,35,,
1260,Irene Aldana,Lucie Pudilova,9/8/2018,"Dallas, Texas, USA",Red,WomenBantamweight,2,1,0,0,2,0,0,0,Orthodox,172.72,170.18,125,1,2,0,0,1,0,0,0,Orthodox,175.26,172.72,135,24,30,,
1261,Diego Sanchez,Craig White,9/8/2018,"Dallas, Texas, USA",Red,Welterweight,0,1,0,0,0,0,0,0,Orthodox,187.96,193.04,170,16,11,0,3,8,5,0,0,Southpaw,177.8,182.88,170,28,36,,
1262,Robert Sanchez,Jarred Brooks,9/8/2018,"Dallas, Texas, USA",Blue,Flyweight,1,2,0,1,0,0,0,0,Switch,160.02,157.48,125,1,1,0,0,0,0,1,0,Orthodox,167.64,167.64,125,25,32,,
1263,Cortney Casey,Angela Hill,8/25/2018,"Lincoln, Nebraska, USA",Red,WomenStrawweight,3,4,0,0,3,0,0,0,Orthodox,160.02,162.56,115,3,5,0,0,1,1,1,0,Orthodox,170.18,170.18,125,33,31,,
1264,Cory Sandhagen,Iuri Alcantara,8/25/2018,"Lincoln, Nebraska, USA",Red,Bantamweight,10,7,0,1,4,3,2,0,Southpaw,175.26,180.34,135,1,0,0,0,0,1,0,0,Switch,180.34,177.8,135,38,26,,
1265,John Moraga,Deiveson Figueiredo,8/25/2018,"Lincoln, Nebraska, USA",Blue,Flyweight,3,0,0,1,0,2,0,0,Orthodox,165.1,172.72,125,8,5,0,1,2,2,3,0,Orthodox,167.64,167.64,125,30,34,,
1266,Eryk Anders,Tim Williams,8/25/2018,"Lincoln, Nebraska, USA",Red,Middleweight,0,1,0,0,0,0,0,0,Orthodox,187.96,193.04,185,2,1,0,0,1,1,0,0,Southpaw,185.42,190.5,185,32,31,,
1267,James Krause,Warlley Alves,8/25/2018,"Lincoln, Nebraska, USA",Red,Welterweight,6,2,0,0,2,0,3,1,Orthodox,180.34,182.88,170,6,3,0,0,3,1,2,0,Orthodox,187.96,185.42,170,27,32,,
1268,Jake Ellenberger,Bryan Barberena,8/25/2018,"Lincoln, Nebraska, USA",Blue,Welterweight,4,3,0,0,1,2,1,0,Southpaw,182.88,182.88,170,10,10,0,1,2,5,1,1,Orthodox,175.26,180.34,170,29,33,,
1269,Justin Gaethje,James Vick,8/25/2018,"Lincoln, Nebraska, USA",Red,Lightweight,9,1,0,0,4,2,3,0,Orthodox,190.5,193.04,155,1,2,0,0,0,1,0,0,Orthodox,180.34,177.8,155,31,29,,
1270,Michael Johnson,Andre Fili,8/25/2018,"Lincoln, Nebraska, USA",Red,Featherweight,6,4,0,1,3,2,0,0,Orthodox,180.34,187.96,145,9,9,0,0,5,4,0,0,Southpaw,177.8,185.42,155,28,32,,
1272,Andrew Sanchez,Markus Perez,8/25/2018,"Lincoln, Nebraska, USA",Red,Middleweight,1,1,0,0,0,0,1,0,Orthodox,185.42,185.42,185,2,2,0,0,2,0,0,0,Orthodox,185.42,187.96,185,30,30,,
1273,Rani Yahya,Luke Sanders,8/25/2018,"Lincoln, Nebraska, USA",Red,Bantamweight,2,2,0,0,1,0,1,0,Southpaw,167.64,170.18,135,10,4,0,1,4,0,5,0,Orthodox,167.64,170.18,135,32,33,,
1274,Mickey Gall,George Sullivan,8/25/2018,"Lincoln, Nebraska, USA",Red,Welterweight,3,3,0,0,2,1,0,0,Orthodox,182.88,185.42,170,3,1,0,0,0,0,3,0,Switch,187.96,187.96,170,37,26,,
1275,Drew Dober,Jon Tuck,8/25/2018,"Lincoln, Nebraska, USA",Red,Lightweight,4,4,0,0,1,1,2,0,Orthodox,180.34,185.42,155,5,5,0,0,2,2,1,0,Southpaw,172.72,177.8,155,33,29,,
1276,Thiago Santos,Kevin Holland,8/4/2018,"Los Angeles, California, USA",Red,Middleweight,0,0,0,0,0,0,0,0,Orthodox,190.5,205.74,185,9,5,0,0,1,8,0,0,Orthodox,187.96,193.04,205,25,34,,
1277,TJ Dillashaw,Cody Garbrandt,8/4/2018,"Los Angeles, California, USA",Red,Bantamweight,6,1,0,0,2,4,0,0,Orthodox,172.72,165.1,135,11,3,0,0,4,6,1,0,Orthodox,167.64,170.18,125,27,32,,
1278,Ricardo Ramos,Kyung Ho Kang,8/4/2018,"Los Angeles, California, USA",Red,Bantamweight,3,2,0,1,0,0,2,0,Orthodox,175.26,185.42,135,2,0,0,0,1,1,0,0,Orthodox,175.26,182.88,145,30,23,,
1279,Polyana Viana,JJ Aldrich,8/4/2018,"Los Angeles, California, USA",Blue,WomenStrawweight,2,1,0,0,2,0,0,0,Southpaw,165.1,170.18,125,1,0,0,0,0,0,1,0,Orthodox,165.1,170.18,115,25,26,,
1280,Ricky Simon,Montel Jackson,8/4/2018,"Los Angeles, California, USA",Red,Bantamweight,0,0,0,0,0,0,0,0,Southpaw,177.8,190.5,135,1,0,0,0,0,1,0,0,Orthodox,167.64,175.26,135,26,25,,
1281,Cub Swanson,Renato Moicano,8/4/2018,"Los Angeles, California, USA",Blue,Featherweight,4,1,0,2,1,0,1,0,Orthodox,180.34,182.88,155,10,5,0,0,6,4,0,0,Orthodox,172.72,177.8,145,29,34,,
1282,Pedro Munhoz,Brett Johns,8/4/2018,"Los Angeles, California, USA",Red,Bantamweight,3,1,0,0,2,0,1,0,Orthodox,170.18,180.34,135,5,4,0,0,1,1,3,0,Orthodox,167.64,165.1,135,26,31,,
1283,Demetrious Johnson,Henry Cejudo,8/4/2018,"Los Angeles, California, USA",Blue,Flyweight,6,2,0,1,4,1,0,0,Orthodox,162.56,162.56,135,15,2,0,1,7,2,5,0,Orthodox,160.02,167.64,125,31,31,,
1284,Matt Sayles,Sheymon Moraes,8/4/2018,"Los Angeles, California, USA",Blue,Featherweight,0,1,0,0,0,0,0,0,Orthodox,172.72,182.88,145,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,145,27,24,,
1285,Marlon Vera,Wuliji Buren,8/4/2018,"Los Angeles, California, USA",Red,Bantamweight,0,1,0,0,0,0,0,0,Orthodox,175.26,175.26,135,4,4,0,0,1,1,2,0,Switch,172.72,177.8,135,29,25,,
1286,Alex Perez,Jose Torres,8/4/2018,"Los Angeles, California, USA",Red,Flyweight,1,0,0,0,0,1,0,0,Orthodox,162.56,165.1,125,2,0,0,0,1,0,1,0,Orthodox,167.64,165.1,125,26,26,,
1287,Danielle Taylor,Zhang Weili,8/4/2018,"Los Angeles, California, USA",Blue,WomenStrawweight,0,0,0,0,0,0,0,0,Switch,162.56,160.02,115,2,2,0,1,1,0,0,0,Orthodox,152.4,152.4,115,28,28,,
1288,Kajan Johnson,Islam Makhachev,7/28/2018,"Calgary, Alberta, Canada",Blue,Lightweight,4,1,0,0,2,1,1,0,Southpaw,177.8,177.8,155,4,1,0,1,2,1,0,0,Orthodox,180.34,190.5,155,26,34,,
1289,Joanna Jedrzejczyk,Tecia Torres,7/28/2018,"Calgary, Alberta, Canada",Red,WomenStrawweight,6,2,0,0,5,0,1,0,Orthodox,154.94,152.4,115,8,2,0,1,5,2,0,0,Orthodox,167.64,165.1,115,28,30,,
1290,Alexander Hernandez,Olivier Aubin-Mercier,7/28/2018,"Calgary, Alberta, Canada",Red,Lightweight,7,2,0,1,1,1,4,0,Southpaw,175.26,177.8,155,1,0,0,0,0,1,0,0,Orthodox,175.26,182.88,155,29,25,,
1291,Gadzhimurad Antigulov,Ion Cutelaba,7/28/2018,"Calgary, Alberta, Canada",Blue,LightHeavyweight,2,2,0,0,1,1,0,0,Southpaw,185.42,190.5,205,2,0,0,0,0,0,2,0,Orthodox,180.34,177.8,205,24,31,,
1292,Eddie Alvarez,Dustin Poirier,7/28/2018,"Calgary, Alberta, Canada",Blue,Lightweight,15,5,1,0,4,7,3,0,Southpaw,175.26,182.88,155,4,3,0,2,0,2,0,0,Orthodox,175.26,175.26,155,29,34,,
1293,Jose Aldo,Jeremy Stephens,7/28/2018,"Calgary, Alberta, Canada",Red,Featherweight,15,13,0,1,6,7,0,1,Orthodox,175.26,180.34,145,8,3,0,0,6,2,0,0,Orthodox,170.18,177.8,135,32,31,,
1294,Hakeem Dawodu,Austin Arnett,7/28/2018,"Calgary, Alberta, Canada",Red,Featherweight,0,1,0,0,0,0,0,0,Orthodox,182.88,182.88,145,0,1,0,0,0,0,0,0,Orthodox,172.72,185.42,145,26,27,,
